query_id,recommended_indexes,llm_reasoning_text,execution_time_ms_after,improvement_vs_baseline
Q1.1,"CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_lineorder_orderdate ON lineorder(lo_orderdate, lo_discount, lo_quantity, lo_extendedprice);","The query filters date_dim on d_year=1993, then joins to lineorder on lo_orderdate and filters lo_discount and lo_quantity. An index on date_dim(d_year) allows fast lookup of matching date keys. A covering index on lineorder(lo_orderdate, lo_discount, lo_quantity, lo_extendedprice) lets the engine find relevant lineorder rows by date, apply discount/quantity filters, and read extendedprice without touching the heap.",,
Q1.2,"CREATE INDEX idx_date_dim_yearmonthnum ON date_dim(d_yearmonthnum);; CREATE INDEX idx_lineorder_orderdate ON lineorder(lo_orderdate, lo_discount, lo_quantity, lo_extendedprice);",Filters on d_yearmonthnum=199401 need a direct index on that column of date_dim. The same lineorder covering index as Q1.1 supports the join and filter on lo_discount/lo_quantity/lo_extendedprice efficiently.,,
Q1.3,"CREATE INDEX idx_date_dim_year_weeknum ON date_dim(d_year, d_weeknuminyear);; CREATE INDEX idx_lineorder_orderdate ON lineorder(lo_orderdate, lo_discount, lo_quantity, lo_extendedprice);","Filters on both d_year=1994 and d_weeknuminyear=6 benefit from a composite index on date_dim(d_year, d_weeknuminyear). The same lineorder covering index handles the join plus discount and quantity filters.",,
Q2.1,"CREATE INDEX idx_part_category ON part(p_category, p_partkey, p_brand, p_mfgr);; CREATE INDEX idx_supplier_region ON supplier(s_region, s_suppkey, s_nation, s_city);; CREATE INDEX idx_lineorder_partkey ON lineorder(lo_partkey);; CREATE INDEX idx_lineorder_suppkey ON lineorder(lo_suppkey);; CREATE INDEX idx_lineorder_composite_full ON lineorder(lo_orderdate, lo_custkey, lo_suppkey, lo_partkey, lo_revenue, lo_supplycost);","part is filtered by p_category='MFGR#12'; an index on part(p_category, p_partkey, p_brand) allows fast retrieval. supplier is filtered by s_region='AMERICA'; index on supplier(s_region, s_suppkey) supports that. Indexes on lineorder(lo_partkey) and lineorder(lo_suppkey) support the joins back to lineorder. The composite lineorder index covers the join keys and revenue for aggregation.",,
Q2.2,"CREATE INDEX idx_part_brand ON part(p_brand, p_partkey, p_mfgr);; CREATE INDEX idx_supplier_region ON supplier(s_region, s_suppkey, s_nation, s_city);; CREATE INDEX idx_lineorder_partkey ON lineorder(lo_partkey);; CREATE INDEX idx_lineorder_suppkey ON lineorder(lo_suppkey);","part is filtered with a range on p_brand BETWEEN 'MFGR#2221' AND 'MFGR#2228'; the index on part(p_brand, p_partkey) supports a range scan and covers p_partkey for the join. supplier filtered on s_region='ASIA' uses the region index. lineorder join indexes support the multi-table join.",,
Q2.3,"CREATE INDEX idx_part_brand ON part(p_brand, p_partkey, p_mfgr);; CREATE INDEX idx_supplier_region ON supplier(s_region, s_suppkey, s_nation, s_city);; CREATE INDEX idx_lineorder_partkey ON lineorder(lo_partkey);; CREATE INDEX idx_lineorder_suppkey ON lineorder(lo_suppkey);",Same structure as Q2.2 but with an equality predicate on p_brand='MFGR#2221' and s_region='EUROPE'. The same indexes provide efficient lookups for both dimension tables and the lineorder join.,,
Q3.1,"CREATE INDEX idx_customer_region ON customer(c_region, c_custkey, c_nation, c_city);; CREATE INDEX idx_supplier_region ON supplier(s_region, s_suppkey, s_nation, s_city);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_lineorder_custkey ON lineorder(lo_custkey);; CREATE INDEX idx_lineorder_suppkey ON lineorder(lo_suppkey);; CREATE INDEX idx_lineorder_composite_full ON lineorder(lo_orderdate, lo_custkey, lo_suppkey, lo_partkey, lo_revenue, lo_supplycost);","customer is filtered by c_region='ASIA'; the covering index on customer(c_region, c_custkey, c_nation) lets the engine find matching customers quickly and supply c_nation for grouping. supplier similarly filtered by s_region='ASIA'. date_dim filtered by d_year range 1992-1997. Lineorder join indexes on lo_custkey and lo_suppkey enable efficient joins.",,
Q3.2,"CREATE INDEX idx_customer_nation ON customer(c_nation, c_custkey, c_city);; CREATE INDEX idx_supplier_nation ON supplier(s_nation, s_suppkey, s_city);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_lineorder_custkey ON lineorder(lo_custkey);; CREATE INDEX idx_lineorder_suppkey ON lineorder(lo_suppkey);","customer filtered by c_nation='UNITED STATES'; index on customer(c_nation, c_custkey, c_city) is efficient and covers the grouping column c_city. supplier filtered by s_nation='UNITED STATES' uses the nation index with s_city. date_dim year range index applies. lineorder join indexes support the joins.",,
Q3.3,"CREATE INDEX idx_customer_city ON customer(c_city, c_custkey);; CREATE INDEX idx_supplier_city ON supplier(s_city, s_suppkey);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_lineorder_custkey ON lineorder(lo_custkey);; CREATE INDEX idx_lineorder_suppkey ON lineorder(lo_suppkey);","customer and supplier are both filtered by c_city/s_city IN lists of two values. Indexes on customer(c_city, c_custkey) and supplier(s_city, s_suppkey) allow efficient IN-list lookups. date_dim year range index applies. lineorder join indexes support the joins.",,
Q3.4,"CREATE INDEX idx_customer_city ON customer(c_city, c_custkey);; CREATE INDEX idx_supplier_city ON supplier(s_city, s_suppkey);; CREATE INDEX idx_date_dim_yearmonth ON date_dim(d_yearmonth);; CREATE INDEX idx_lineorder_custkey ON lineorder(lo_custkey);; CREATE INDEX idx_lineorder_suppkey ON lineorder(lo_suppkey);",Same city filters as Q3.3 but date_dim filtered on d_yearmonth='Dec1997' instead of d_year range; the index on date_dim(d_yearmonth) is more selective here. City indexes and lineorder join indexes remain useful.,,
Q4.1,"CREATE INDEX idx_customer_region ON customer(c_region, c_custkey, c_nation, c_city);; CREATE INDEX idx_supplier_region ON supplier(s_region, s_suppkey, s_nation, s_city);; CREATE INDEX idx_part_mfgr ON part(p_mfgr, p_partkey, p_category, p_brand);; CREATE INDEX idx_lineorder_custkey ON lineorder(lo_custkey);; CREATE INDEX idx_lineorder_suppkey ON lineorder(lo_suppkey);; CREATE INDEX idx_lineorder_partkey ON lineorder(lo_partkey);; CREATE INDEX idx_lineorder_composite_full ON lineorder(lo_orderdate, lo_custkey, lo_suppkey, lo_partkey, lo_revenue, lo_supplycost);","Filters on c_region='AMERICA', s_region='AMERICA', and p_mfgr IN ('MFGR#1','MFGR#2'). Region indexes on customer and supplier allow fast dimension filtering with covered join keys and grouping columns. part(p_mfgr, p_partkey) supports the mfgr IN filter. lineorder indexes on all three FK columns enable efficient multi-join execution. The composite lineorder index covers lo_revenue and lo_supplycost for the profit calculation.",,
Q4.2,"CREATE INDEX idx_customer_region ON customer(c_region, c_custkey, c_nation, c_city);; CREATE INDEX idx_supplier_region ON supplier(s_region, s_suppkey, s_nation, s_city);; CREATE INDEX idx_part_mfgr ON part(p_mfgr, p_partkey, p_category, p_brand);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_lineorder_custkey ON lineorder(lo_custkey);; CREATE INDEX idx_lineorder_suppkey ON lineorder(lo_suppkey);; CREATE INDEX idx_lineorder_partkey ON lineorder(lo_partkey);; CREATE INDEX idx_lineorder_composite_full ON lineorder(lo_orderdate, lo_custkey, lo_suppkey, lo_partkey, lo_revenue, lo_supplycost);","Similar to Q4.1 but with additional filter d_year IN (1997,1998). The date_dim(d_year) index adds efficiency for the year filter. All other dimension indexes support region and mfgr filters. s_nation and p_category appear in GROUP BY and are covered by the supplier region index and part mfgr index respectively.",,
Q4.3,"CREATE INDEX idx_customer_region ON customer(c_region, c_custkey, c_nation, c_city);; CREATE INDEX idx_supplier_nation ON supplier(s_nation, s_suppkey, s_city);; CREATE INDEX idx_part_category ON part(p_category, p_partkey, p_brand, p_mfgr);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_lineorder_custkey ON lineorder(lo_custkey);; CREATE INDEX idx_lineorder_suppkey ON lineorder(lo_suppkey);; CREATE INDEX idx_lineorder_partkey ON lineorder(lo_partkey);; CREATE INDEX idx_lineorder_composite_full ON lineorder(lo_orderdate, lo_custkey, lo_suppkey, lo_partkey, lo_revenue, lo_supplycost);","Filters on c_region='AMERICA', s_nation='UNITED STATES', p_category='MFGR#14', d_year IN (1997,1998). supplier is now filtered by nation not region; the supplier nation index covers s_suppkey and s_city for the join and GROUP BY. part(p_category, p_partkey, p_brand) supports p_category filter and covers p_brand for grouping. customer region and date year indexes remain beneficial. All lineorder FK indexes support the four-way join.",,
