query_id,recommended_indexes,llm_reasoning_text,execution_time_ms_after,improvement_vs_baseline
Q1,,Covering index on l_shipdate enables range filter and avoids heap lookups for all aggregated columns.,,
Q2,,"Indexes on join and filter columns accelerate part filtering, partsupp lookups, and region-nation chain joins.",,
Q3,,"Indexes on mktsegment, custkey, orderdate, and shipdate reduce rows scanned across the three-way join.",,
Q4,,Orderdate index filters orders range; lineitem orderkey index speeds the EXISTS subquery lookup.,,
Q5,,Multiple join and filter indexes reduce the large multi-table join cost for the regional revenue query.,,
Q6,,"Covering index on l_shipdate, l_discount, l_quantity eliminates full table scan for the revenue calculation.",,
Q7,,Indexes on join keys and nation name filter support efficient nation-pair shipping volume calculation.,,
Q8,,"Indexes on part type, orderdate range, and all join keys minimize scans for the market share calculation.",,
Q9,,Index on p_name for LIKE filter and join key indexes reduce cost of the complex multi-table profit query.,,
Q10,,"Indexes on orderdate range, returnflag filter, and join keys accelerate the customer revenue report.",,
Q11,,"Indexes on suppkey join, nationkey, and nation name speed up the partsupp aggregation filtered by nation.",,
Q12,,Covering index on receiptdate and shipmode filters lineitem efficiently and avoids heap lookups.,,
Q13,,Index on o_custkey accelerates the left outer join grouping customers with their order counts.,,
Q14,,Shipdate range index filters lineitem; partkey and p_type indexes speed the join and promo type check.,,
Q15,,Shipdate index supports the view range filter; suppkey index speeds grouping and join to supplier.,,
Q16,"CREATE INDEX idx_part_partkey_brand_type_size ON PART(P_PARTKEY, P_BRAND, P_TYPE, P_SIZE);; CREATE INDEX idx_partsupp_partkey_suppkey ON PARTSUPP(PS_PARTKEY, PS_SUPPKEY);; CREATE INDEX idx_supplier_comment ON SUPPLIER(S_COMMENT);","Supports the join on P_PARTKEY=PS_PARTKEY, filtering on brand/type/size, and fast exclusion of suppliers with complaint comments.",,
Q17,"CREATE INDEX idx_part_brand_container ON PART(P_BRAND, P_CONTAINER, P_PARTKEY);; CREATE INDEX idx_lineitem_partkey_quantity ON LINEITEM(L_PARTKEY, L_QUANTITY);",Enables fast lookup of matching parts by brand/container and efficient subquery averaging lineitem quantity by partkey.,,
Q18,"CREATE INDEX idx_lineitem_orderkey_quantity ON LINEITEM(L_ORDERKEY, L_QUANTITY);; CREATE INDEX idx_orders_custkey ON ORDERS(O_CUSTKEY);; CREATE INDEX idx_orders_orderkey_status ON ORDERS(O_ORDERKEY, O_ORDERSTATUS);","Speeds up the subquery grouping lineitem by orderkey, and the joins between orders, customer, and lineitem.",,
Q19,"CREATE INDEX idx_lineitem_shipmode_shipinstruct ON LINEITEM(L_SHIPMODE, L_SHIPINSTRUCT, L_PARTKEY, L_QUANTITY, L_EXTENDEDPRICE, L_DISCOUNT);; CREATE INDEX idx_part_partkey_brand_type_size ON PART(P_PARTKEY, P_BRAND, P_TYPE, P_SIZE);","Filters lineitem on shipmode and shipinstruct first, then joins to part filtered by brand, container, and size range.",,
Q20,"CREATE INDEX idx_part_name ON PART(P_NAME);; CREATE INDEX idx_partsupp_partkey_suppkey ON PARTSUPP(PS_PARTKEY, PS_SUPPKEY);; CREATE INDEX idx_lineitem_partkey_suppkey_shipdate ON LINEITEM(L_PARTKEY, L_SUPPKEY, L_SHIPDATE, L_QUANTITY);; CREATE INDEX idx_supplier_nationkey ON SUPPLIER(S_NATIONKEY, S_SUPPKEY, S_NAME, S_ADDRESS);; CREATE INDEX idx_nation_name_nationkey ON NATION(N_NAME, N_NATIONKEY);","Supports nested subqueries filtering parts by name prefix, partsupp lookups, lineitem aggregation by partkey/suppkey/shipdate, and nation filter.",,
Q21,"CREATE INDEX idx_lineitem_suppkey_orderkey ON LINEITEM(L_SUPPKEY, L_ORDERKEY, L_RECEIPTDATE, L_COMMITDATE);; CREATE INDEX idx_lineitem_orderkey_quantity ON LINEITEM(L_ORDERKEY, L_QUANTITY);; CREATE INDEX idx_orders_orderkey_status ON ORDERS(O_ORDERKEY, O_ORDERSTATUS);; CREATE INDEX idx_supplier_nationkey ON SUPPLIER(S_NATIONKEY, S_SUPPKEY, S_NAME, S_ADDRESS);; CREATE INDEX idx_nation_name_nationkey ON NATION(N_NAME, N_NATIONKEY);","Supports joins on suppkey/orderkey, filtering on orderstatus='F', receiptdate>commitdate, and exists subqueries on lineitem.",,
Q22,"CREATE INDEX idx_customer_custkey_acctbal ON CUSTOMER(C_CUSTKEY, C_ACCTBAL, C_PHONE);; CREATE INDEX idx_orders_custkey ON ORDERS(O_CUSTKEY);","Enables fast customer filtering on acctbal and phone prefix, and efficient NOT EXISTS check against orders by custkey.",,
